Court,Date,Crim Total New,Crim Reactive,Crim Uncontest Dispo,Dismissed by Pro PreCourtTrial,Total Dispo PreCourtTrial,Guilty Plea or Nolo Contend,Guilty by Court,Guilty by Jury,Court Aquittals,Jury Aquittals,Dismissed by Pro AtCourtTrial,Total Dispo AtCourtTrial,Compliance Dismissals,Crim Total Disposed,Crim NonPark Active,Crim NonPark Inactive,Crim NonPark Total,Crim Park Active,Crim Park Inactive,Crim Park Total,Crim County Ord TM Active,Crim County Ord TM Inactive,Crim County Ord TM Total,Crim Penal Code Active,Crim Penal Code Inactive,Crim Penal Code Total,Crim OSL Active,Crim OSL Inactive,Crim OSL Total,Crim Count Ord NT Active,Crim Count Ord NT Inactive,Crim Count Ord NT Total,Crim Total Docket,Crim Active Cases,Crim Inactive Cases,Crim Appeal AfterTrial ,Crim Appeal NoTrial,Civil Total New,Civil Active Cases,Civil Inactive Cases,Civil Total Disposed,Civil Total Docket,Crim Made Inactive,EV on Docket,SC on Docket,DC on Docket,DC Agreed J,EV Agreed J,SC Agreed J,Total Agreed J,DC TrialHearing,EV TrialHearing,SC TrialHearing,Total Trial Hearing,DC Jury Trial,EV Jury Trial,SC Jury Trial,Total Jury Trial,DC DiWOP,EV DiWOP,SC DiWOP,Total DiWOP,DC NSDP,EV NSDP,SC NSDP,Total NSDP,DC Other Disp,EV Other Disp,SC Other Disp,Total Other Disp,DC Total New,EV Total New,SC Total New,DC DJ,DC Disposed,EV DJ,EV Disposed,SC DJ,SC Disposed,Total DJ,Class AB Warrants,Search Warrants,Felony Warrants,Class C Warrants,Jail Credit Cases,Total Fines
Precinct 3 Place 1,1/2024,"1,937",404,238,0,238,40,106,0,0,0,784,930,292,"1,730","19,935","24,784","22,199",62,41,64,0,0,0,836,267,852,503,377,559,76,51,79,"23,753","21,412","25,520",0,0,939,"9,040",27,916,"9,957","1,851",672,574,"8,711",28,1,0,29,2,84,4,90,0,0,0,0,0,0,0,0,231,127,2,360,41,10,7,58,523,387,29,244,546,131,353,4,17,379,0,0,0,"1,851",269,"$225,471"
Precinct 3 Place 1,1/2024,"1,867",333,193,0,193,30,73,0,0,0,704,807,370,"1,613","18,726","26,193","20,872",58,43,65,0,0,0,818,271,828,497,406,529,74,53,79,"22,373","20,173","26,966",0,0,898,"9,515",27,446,"9,962",607,717,593,"8,652",40,0,1,41,4,49,2,55,0,0,0,0,0,0,0,0,92,90,4,186,22,22,0,44,465,397,36,4,162,115,276,1,8,120,0,0,0,607,234,"$200,895"
Precinct 3 Place 1,1/2024,"1,931",365,221,0,221,45,59,0,0,0,593,697,412,"1,603","18,737","26,465","20,860",58,39,62,0,0,0,803,278,823,485,406,631,72,53,75,"22,451","20,155","27,241",0,0,"1,126","9,758",27,892,"10,650","1,137",888,619,"9,143",37,0,0,37,4,122,5,131,0,0,0,0,0,0,0,0,161,148,6,315,24,39,7,70,645,447,34,87,313,247,556,5,23,339,0,0,0,"1,137",272,"$247,286"
Precinct 3 Place 1,1/2024,"2,664",389,251,0,251,42,133,1,0,0,660,836,371,"1,733","18,195","27,235","21,125",60,40,62,0,0,0,806,277,860,582,408,649,73,52,73,"22,769","19,716","28,012",0,0,956,"9,745",26,"1,003","10,753",892,702,637,"9,414",39,0,0,39,2,83,9,94,0,0,0,0,1,0,0,1,164,111,8,283,30,26,11,67,545,370,41,359,595,155,375,5,33,519,0,0,0,892,281,"$240,006"
Precinct 3 Place 2,1/2020,315,236,76,740,816,21,38,0,0,0,119,178,64,"1,174","3,331","7,056","3,861",5,8,5,0,0,0,166,62,174,236,112,249,7,1,7,"4,296","3,745","7,239",0,0,493,"1,885",8,536,"2,421",453,240,689,"1,492",17,0,1,18,7,21,9,37,0,0,1,1,1,1,15,17,9,1,4,14,21,53,202,276,164,127,202,109,164,57,133,7,239,173,0,0,0,453,125,"$81,360"
Precinct 3 Place 2,1/2020,288,254,72,323,395,21,39,2,0,0,105,167,55,770,"2,435","7,263","2,949",3,9,3,0,0,0,92,66,96,134,115,158,5,3,5,"3,211","2,669","7,456",1,0,440,"1,864",8,462,"2,326",63,214,612,"1,500",29,0,0,29,4,17,10,31,0,0,0,0,0,0,0,0,40,0,4,44,20,51,120,191,173,107,160,115,208,43,111,9,143,167,0,0,0,63,154,"$82,337"
Precinct 3 Place 2,1/2020,187,122,54,21,75,6,12,0,0,0,17,35,30,207,"2,157","7,072","2,457",3,9,4,0,0,0,79,64,81,136,117,142,5,3,5,"2,689","2,380","7,265",1,0,498,"2,112",8,250,"2,362",37,141,755,"1,466",12,0,0,12,4,10,11,25,0,0,0,0,0,0,0,0,12,0,5,17,40,29,57,126,173,38,287,37,105,32,71,1,74,70,0,0,0,37,69,"$52,028"
Precinct 3 Place 2,1/2020,70,55,13,2,15,0,0,0,0,0,0,0,4,63,"2,236","6,986","2,355",4,9,4,0,0,0,80,65,84,145,117,147,4,3,4,"2,594","2,469","7,180",0,0,86,"2,152",9,46,"2,199",1,78,738,"1,383",12,0,0,12,0,0,2,2,0,0,0,0,0,0,0,0,11,0,1,12,14,4,2,20,21,8,57,0,37,0,4,0,5,0,0,0,0,1,46,"$8,181"
Precinct 3 Place 2,1/2020,74,54,29,24,53,0,8,0,0,0,0,8,37,132,"2,294","6,934","2,418",4,9,5,0,0,0,87,65,90,146,115,146,4,3,4,"2,663","2,535","7,126",0,0,230,"2,305",8,71,"2,376",18,82,751,"1,543",4,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,13,0,0,13,34,16,2,52,205,8,17,0,51,1,17,0,3,1,0,0,0,18,34,"$27,185"
Precinct 3 Place 2,1/2020,269,79,47,21,68,2,34,0,0,0,6,42,39,186,"2,463","6,901","2,806",5,9,5,0,0,0,206,62,207,154,115,158,4,3,4,"3,180","2,832","7,090",0,0,314,"2,567",8,52,"2,619",0,100,765,"1,754",5,0,0,5,0,0,3,3,0,0,0,0,1,0,0,1,9,0,0,9,17,14,3,34,262,35,17,0,32,0,14,0,6,0,0,0,0,0,37,"$44,211"
Precinct 3 Place 2,1/2020,206,83,59,401,460,3,13,0,0,0,1,17,20,537,"2,655","6,822","2,934",5,9,5,0,0,0,222,62,223,162,115,171,4,3,4,"3,337","3,048","7,011",0,0,304,"2,484",8,388,"2,872",70,113,957,"1,802",11,0,0,11,17,9,0,26,0,0,0,0,0,0,0,0,6,0,5,11,18,27,207,252,80,27,197,60,112,27,63,1,213,88,0,0,0,70,40,"$39,142"
Precinct 3 Place 2,1/2020,158,105,69,62,131,1,17,0,0,0,18,36,24,239,"2,519","6,811","2,776",5,9,6,0,0,0,85,62,86,116,113,120,4,3,4,"2,992","2,729","6,998",0,0,257,"2,531",8,210,"2,741",27,106,906,"1,729",11,0,0,11,5,2,2,9,0,0,0,0,0,0,1,1,9,0,3,12,16,2,115,133,39,56,162,41,82,3,7,0,121,44,0,0,0,27,50,"$41,928"
Precinct 3 Place 2,1/2020,127,89,60,5,65,1,16,0,0,0,11,28,12,145,"2,536","6,738","2,746",4,8,4,0,0,0,85,62,85,111,109,117,4,3,4,"2,956","2,740","6,920",0,0,430,"2,666",8,297,"2,963",107,148,"1,093","1,722",14,0,0,14,5,13,4,22,0,0,0,0,0,0,0,0,10,0,4,14,13,27,122,162,75,48,307,54,96,28,68,3,133,85,0,0,0,108,40,"$42,880"
Precinct 3 Place 2,1/2020,121,71,37,38,75,8,21,0,0,0,14,43,19,169,"2,499","6,754","2,674",4,8,4,0,0,0,84,63,89,111,110,123,4,3,4,"2,894","2,702","6,938",0,0,226,"2,563",8,328,"2,891",190,109,"1,088","1,694",16,0,0,16,4,7,6,17,0,0,0,0,0,0,0,0,8,0,3,11,8,15,143,166,68,30,128,98,134,15,37,5,157,118,0,0,0,190,33,"$32,250"
Precinct 3 Place 2,1/2020,167,79,34,3,37,1,6,0,0,0,6,13,36,129,"2,346","6,870","2,587",3,9,4,0,0,0,75,64,78,110,111,111,4,3,4,"2,784","2,538","7,057",0,0,269,"2,624",8,208,"2,832",130,100,"1,023","1,709",3,0,0,3,3,0,3,6,0,0,0,0,0,0,0,0,22,0,3,25,1,9,114,124,149,28,92,49,78,0,9,1,121,50,0,0,0,130,47,"$32,500"
Precinct 3 Place 2,1/2020,149,54,45,12,57,2,17,0,0,0,12,31,48,178,"2,334","6,923","2,533",3,8,3,0,0,0,89,63,91,117,111,119,4,3,4,"2,750","2,547","7,108",0,0,259,"2,624",8,259,"2,883",54,142,913,"1,828",6,0,0,6,2,9,4,15,0,0,0,0,0,0,0,0,18,0,4,22,10,14,65,89,197,51,11,85,121,33,56,9,82,127,0,0,0,54,43,"$40,212"
