Court,Date,Crim Total New,Crim Reactive,Crim Uncontest Dispo,Dismissed by Pro PreCourtTrial,Total Dispo PreCourtTrial,Guilty Plea or Nolo Contend,Guilty by Court,Guilty by Jury,Court Aquittals,Jury Aquittals,Dismissed by Pro AtCourtTrial,Total Dispo AtCourtTrial,Compliance Dismissals,Crim Total Disposed,Crim NonPark Active,Crim NonPark Inactive,Crim NonPark Total,Crim Park Active,Crim Park Inactive,Crim Park Total,Crim County Ord TM Active,Crim County Ord TM Inactive,Crim County Ord TM Total,Crim Penal Code Active,Crim Penal Code Inactive,Crim Penal Code Total,Crim OSL Active,Crim OSL Inactive,Crim OSL Total,Crim Count Ord NT Active,Crim Count Ord NT Inactive,Crim Count Ord NT Total,Crim Total Docket,Crim Active Cases,Crim Inactive Cases,Crim Appeal AfterTrial ,Crim Appeal NoTrial,Civil Total New,Civil Active Cases,Civil Inactive Cases,Civil Total Disposed,Civil Total Docket,Crim Made Inactive,EV on Docket,SC on Docket,DC on Docket,DC Agreed J,EV Agreed J,SC Agreed J,Total Agreed J,DC TrialHearing,EV TrialHearing,SC TrialHearing,Total Trial Hearing,DC Jury Trial,EV Jury Trial,SC Jury Trial,Total Jury Trial,DC DiWOP,EV DiWOP,SC DiWOP,Total DiWOP,DC NSDP,EV NSDP,SC NSDP,Total NSDP,DC Other Disp,EV Other Disp,SC Other Disp,Total Other Disp,DC Total New,EV Total New,SC Total New,DC DJ,DC Disposed,EV DJ,EV Disposed,SC DJ,SC Disposed,Total DJ,Class AB Warrants,Search Warrants,Felony Warrants,Class C Warrants,Jail Credit Cases,Total Fines
Precinct 5 Place 1,1/2023,"2,120",424,313,142,455,168,80,0,0,0,"1,293","1,541",741,"3,045","50,239","32,747","52,749",304,35,312,0,0,0,253,143,270,262,268,269,168,49,170,"53,770","51,226","33,242",0,0,"1,998","11,627",9,"2,952","14,579",578,"3,350","2,857","8,372",54,0,3,57,34,379,50,463,2,1,6,9,16,81,54,151,170,556,25,751,115,34,34,183,290,"1,562",146,394,785,919,"1,970",25,197,"1,338",0,0,0,578,312,"$644,280"
Precinct 5 Place 1,1/2023,"2,335",355,293,190,483,369,77,0,0,0,475,921,692,"2,338","49,199","32,899","51,811",288,35,341,0,0,0,263,143,271,260,270,274,166,49,169,"52,866","50,176","33,396",1,0,"1,735","11,767",9,"1,865","13,634",0,"2,601","2,829","8,204",72,0,0,72,14,255,25,294,1,1,2,4,1,76,16,93,220,374,25,619,70,34,20,124,358,"1,221",156,87,465,562,"1,302",10,98,659,0,0,0,0,251,"$443,655"
Precinct 5 Place 1,1/2023,"2,368",318,290,898,"1,188",418,71,0,0,0,224,713,549,"2,640","49,553","32,553","52,203",361,35,386,0,0,0,257,142,262,256,263,261,167,48,168,"53,280","50,594","33,041",0,0,"1,989","11,813",10,"2,103","13,917",90,"2,603","2,890","8,424",62,0,0,62,30,231,39,300,0,2,4,6,6,71,9,86,123,410,28,561,108,16,32,156,535,"1,300",154,314,643,592,"1,322",26,138,932,0,0,0,90,196,"$456,182"
Precinct 5 Place 1,1/2023,"2,426",246,276,812,"1,088",195,98,0,0,0,581,874,645,"2,773","49,510","32,330","52,110",376,35,433,0,0,0,254,141,261,251,260,259,164,47,164,"53,227","50,555","32,813",0,0,"1,634","11,223",9,"2,295","13,518",160,"2,349","2,892","8,277",58,0,1,59,17,222,43,282,0,0,3,3,37,65,28,130,230,406,37,673,122,33,20,175,438,"1,064",132,378,842,568,"1,294",27,159,973,0,0,0,160,168,"$409,887"
Precinct 5 Place 1,1/2023,"2,288",234,256,593,849,145,35,0,0,0,1,181,394,"1,574","49,267","32,245","51,708",384,35,444,0,0,0,248,140,253,239,260,252,158,47,161,"52,818","50,296","32,727",0,0,"1,730","11,617",8,"1,391","13,008",60,"2,227","2,829","7,952",83,0,1,84,0,141,14,155,0,0,0,0,0,67,1,68,309,335,47,691,47,10,15,72,432,"1,203",95,0,439,321,874,0,78,321,0,0,0,61,153,"$385,458"
Precinct 5 Place 1,1/2024,"2,184",261,375,"1,518","1,893",281,68,0,0,0,164,513,603,"3,179","50,134","32,073","52,527",409,35,430,0,0,0,242,140,252,243,259,258,159,46,165,"53,632","51,187","32,553",0,0,"2,183","11,197",9,"2,821","14,019",133,"2,747","2,892","8,380",50,0,0,50,46,243,35,324,3,1,5,9,45,155,41,241,167,496,10,673,229,60,27,316,637,"1,394",152,535,"1,075",630,"1,585",43,161,"1,208",0,0,0,132,173,"$482,178"
Precinct 5 Place 1,1/2024,"2,755",337,309,262,571,184,42,0,0,0,418,644,716,"2,145","49,336","31,947","52,392",370,34,380,0,0,0,229,140,237,238,258,256,148,46,148,"53,413","50,321","32,425",0,0,"1,790","10,592",11,"2,463","13,057",793,"2,310","2,852","7,895",62,0,1,63,25,199,47,271,1,2,6,9,62,180,25,267,268,446,29,743,42,15,18,75,527,"1,148",115,478,938,530,"1,372",27,153,"1,035",0,0,0,793,221,"$460,477"
Precinct 5 Place 1,1/2024,"2,937",340,337,332,669,233,47,0,0,0,86,366,618,"1,870","49,483","32,407","52,705",371,34,393,0,0,0,231,140,240,243,254,263,145,46,149,"53,750","50,473","32,881",0,0,"1,674","10,518",9,"1,777","12,295",335,"1,931","2,829","7,535",52,0,1,53,29,130,30,189,0,0,1,1,56,96,34,186,227,390,16,633,14,13,21,48,559,993,122,281,659,367,996,19,122,667,0,0,0,335,219,"$413,033"
Precinct 5 Place 1,1/2024,"3,090",340,423,497,920,107,96,0,0,0,297,500,885,"2,532","50,525","32,410","53,897",380,33,413,0,0,0,237,139,253,254,248,258,148,46,153,"54,974","51,544","32,876",0,0,"1,849","9,984",8,"2,433","12,418",240,"1,930","2,916","7,572",40,0,0,40,38,176,48,262,0,1,2,3,36,98,47,181,319,479,38,836,27,24,27,78,660,994,195,546,"1,006",460,"1,238",27,189,"1,033",0,0,0,240,225,"$488,086"
Precinct 5 Place 1,1/2024,"3,489",320,366,677,"1,043",162,58,0,0,0,654,874,796,"2,914","51,173","32,312","54,927",383,34,407,0,0,0,248,138,267,253,247,261,141,45,145,"56,007","52,198","32,776",0,0,"1,697","9,823",9,"1,880","11,704",933,"1,826","2,879","6,999",97,1,2,100,23,131,33,187,1,2,2,5,88,44,125,257,267,316,40,623,34,11,34,79,418,"1,133",146,200,710,411,916,18,254,629,0,0,0,933,208,"$473,746"
Precinct 5 Place 1,1/2024,"3,042",330,360,242,602,203,95,0,0,0,276,574,710,"2,067","51,132","32,924","54,477",387,34,390,0,0,0,260,138,268,243,248,255,138,45,142,"55,532","52,160","33,389",0,0,"1,786","9,209",9,"2,432","11,641",248,"2,066","2,757","6,818",79,1,0,80,50,172,44,266,0,0,1,1,54,81,85,220,261,360,34,655,20,13,27,60,489,"1,166",131,734,"1,198",386,"1,013",30,221,"1,150",0,0,0,248,186,"$444,435"
Precinct 5 Place 1,1/2024,"3,619",286,376,159,535,134,58,0,0,0,283,475,648,"1,815","52,213","32,845","56,061",367,34,397,0,0,0,264,136,273,244,247,262,133,45,133,"57,126","53,221","33,307",0,0,"1,782","9,042",9,"2,032","11,076",229,"2,150","2,655","6,271",70,0,1,71,27,136,32,195,0,0,0,0,70,95,47,212,254,406,28,688,15,5,19,39,558,"1,104",120,352,788,462,"1,104",13,140,827,0,0,0,229,156,"$426,927"
Precinct 5 Place 1,1/2024,"3,734",773,387,"1,523","1,910",151,118,0,0,0,630,899,681,"3,684","54,045","32,786","58,488",378,35,409,0,0,0,269,137,286,260,247,275,130,45,131,"59,589","55,082","33,250",0,0,"2,174","8,511",12,"2,719","11,233",146,"2,289","2,655","6,289",71,0,1,72,53,191,31,275,0,4,2,6,211,111,101,423,254,421,40,715,24,10,18,52,788,"1,244",142,602,"1,215",551,"1,288",23,216,"1,176",0,0,0,146,204,"$491,050"
Precinct 5 Place 1,1/2024,"3,822",322,470,334,804,130,78,2,0,0,523,733,697,"2,398","54,721","32,166","58,796",388,33,424,0,0,0,271,137,289,258,243,270,121,44,124,"59,903","55,759","32,623",0,0,"1,937","8,455",13,"2,010","10,467",0,"2,171","2,595","5,701",73,0,0,73,31,138,20,189,0,0,0,0,135,69,144,348,162,331,20,513,17,10,9,36,620,"1,170",147,315,733,503,"1,051",33,226,851,0,0,0,0,169,"$527,853"
Precinct 5 Place 2,1/2020,"5,220",640,763,296,"1,059",419,195,0,0,0,"1,508","2,122","1,496","5,043","52,163","42,181","57,736","1,255",112,"1,313",0,0,0,"3,833","1,377","3,940","2,622","2,820","2,706",785,216,823,"66,518","60,658","46,706",7,0,"1,487","6,649",12,"1,673","8,323","1,069","1,859","1,168","5,296",61,0,0,61,3,79,9,91,0,0,0,0,5,104,4,113,249,371,28,648,1,34,12,47,417,928,142,396,715,304,892,13,66,713,0,0,0,"1,070",372,"$653,052"
Precinct 5 Place 2,1/2020,"4,162",664,759,334,"1,093",405,183,0,0,0,"1,808","2,396","1,220","5,072","51,868","42,595","56,454","1,275",111,"1,318",0,0,0,"3,846","1,376","3,930","2,614","2,830","2,697",784,221,814,"65,213","60,387","47,133",6,0,"1,263","6,634",13,"1,280","7,915",890,"1,761","1,165","4,989",67,0,0,67,8,104,9,121,0,1,1,2,2,80,7,89,161,327,21,509,2,14,6,22,409,794,60,194,434,272,798,4,48,470,0,0,0,891,356,"$680,666"
Precinct 5 Place 2,1/2020,"4,223",477,773,93,866,225,112,1,0,0,882,"1,220",833,"3,154","50,829","42,819","55,312","1,260",113,"1,311",0,0,0,"3,813","1,367","3,890","2,581","2,840","2,638",768,220,800,"63,951","59,251","47,359",8,0,930,"6,542",14,"1,022","7,565",259,"1,367","1,161","5,037",45,0,1,46,2,52,8,62,0,0,0,0,0,60,1,61,157,312,13,482,3,5,4,12,483,404,43,194,401,159,588,6,33,359,0,0,0,263,239,"$515,765"
Precinct 5 Place 2,1/2020,"1,786",169,525,51,576,0,13,0,0,0,57,70,475,"1,199","52,062","42,629","53,862","1,269",113,"1,317",0,0,0,"3,833","1,355","3,889","2,574","2,824","2,614",783,219,794,"62,476","60,521","47,140",0,0,313,"6,503",12,356,"6,859",0,827,"1,272","4,760",24,0,1,25,1,1,2,4,0,0,0,0,6,0,0,6,211,34,17,262,6,0,7,13,121,57,135,45,293,0,35,1,28,46,0,0,0,0,78,"$215,683"
Precinct 5 Place 2,1/2020,"2,570",269,571,320,891,25,21,0,0,0,116,162,608,"1,792","52,686","42,471","55,372","1,302",113,"1,346",0,0,0,"3,876","1,350","3,917","2,598","2,819","2,635",793,219,824,"64,094","61,255","46,972",0,0,309,"6,188",12,615,"6,803",0,891,"1,282","4,630",44,0,0,44,0,1,5,6,0,0,0,0,0,0,0,0,257,127,6,390,1,14,5,20,166,108,35,155,457,0,142,0,16,155,0,0,0,0,126,"$273,998"
Precinct 5 Place 2,1/2020,"3,242",324,772,100,872,162,142,0,0,0,222,526,"1,004","2,490","53,654","42,222","57,035","1,315",111,"1,353",0,0,0,"3,886","1,346","3,922","2,611","2,806","2,679",809,218,852,"65,841","62,275","46,703",1,0,536,"5,828",12,896,"6,724",0,"1,055","1,360","4,309",32,0,0,32,3,64,14,81,0,0,0,0,15,54,9,78,120,183,19,322,6,14,5,25,138,309,89,223,399,128,443,7,54,358,0,0,0,0,93,"$452,997"
Precinct 5 Place 2,1/2020,"2,835",280,541,78,619,215,55,0,0,0,158,428,614,"1,772","54,719","41,934","57,673","1,311",109,"1,360",0,0,0,"3,870","1,332","3,904","2,626","2,789","2,682",821,215,843,"66,462","63,347","46,379",0,0,476,"5,535",14,769,"6,306",2,889,"1,365","4,052",34,0,0,34,8,85,16,109,0,0,0,0,15,57,11,83,142,75,19,236,4,34,13,51,142,277,57,94,297,145,396,17,76,256,0,0,0,1,109,"$368,866"
Precinct 5 Place 2,1/2020,"3,285",268,532,124,656,176,66,0,0,0,456,698,592,"2,050","56,019","41,677","59,423","1,326",109,"1,378",0,0,0,"3,874","1,326","3,913","2,643","2,777","2,691",827,213,837,"68,242","64,689","46,102",2,0,540,"5,422",14,655,"6,078",794,831,"1,374","3,873",48,1,0,49,15,43,14,72,0,0,0,0,3,22,9,34,131,51,19,201,6,16,11,33,118,341,81,180,383,80,213,6,59,266,0,0,0,796,108,"$351,049"
Precinct 5 Place 2,1/2020,"3,505",266,623,644,"1,267",244,60,0,0,0,141,445,742,"2,565","56,743","42,177","60,366","1,350",111,"1,376",0,0,0,"3,849","1,340","3,894","2,636","2,779","2,689",814,218,838,"69,163","65,392","46,625",4,0,573,"5,412",16,587,"6,001","1,033",894,"1,394","3,713",28,0,0,28,16,57,10,83,0,0,0,0,6,28,5,39,82,104,28,214,6,7,11,24,220,277,76,70,208,121,317,8,62,199,0,0,0,"1,034",110,"$385,441"
Precinct 5 Place 2,1/2020,"3,060",300,621,173,794,260,156,0,0,0,281,697,686,"2,306","56,996","42,923","60,189","1,280",114,"1,316",0,0,0,"3,849","1,347","3,903","2,626","2,788","2,672",816,220,847,"68,927","65,567","47,392",5,1,665,"5,477",17,603,"6,081","1,328",882,"1,423","3,776",26,1,0,27,21,63,10,94,0,0,0,0,5,31,4,40,113,79,22,214,5,11,7,23,272,304,89,88,258,100,285,17,60,205,0,0,0,"1,332",123,"$382,493"
Precinct 5 Place 2,1/2020,"3,312",286,603,326,929,270,115,0,0,0,316,701,605,"2,382","56,817","43,908","60,238","1,228",128,"1,283",0,0,0,"3,830","1,367","3,874","2,596","2,797","2,641",823,221,856,"68,892","65,294","48,421",4,1,752,"5,638",16,595,"6,234","1,204",965,"1,433","3,836",27,0,1,28,10,46,15,71,0,0,0,0,3,28,2,33,69,70,18,157,10,28,16,54,317,367,68,160,279,85,257,7,59,252,0,0,0,"1,206",145,"$372,991"
Precinct 5 Place 2,1/2020,"3,839",300,524,153,677,95,96,0,0,0,296,487,631,"1,971","56,974","44,800","60,953","1,122",135,"1,179",0,0,0,"3,802","1,378","3,849","2,598","2,803","2,638",812,223,828,"69,447","65,308","49,339",2,0,955,"5,839",15,771,"6,610",836,"1,307","1,445","3,858",27,0,0,27,3,65,5,73,0,0,0,0,11,30,8,49,130,108,16,254,8,10,11,29,285,599,71,219,398,113,326,7,47,339,0,0,0,835,170,"$372,461"
Precinct 5 Place 2,1/2021,"4,054",296,570,542,"1,112",360,135,0,0,0,203,698,914,"2,879","58,316","45,324","62,487","1,126",138,"1,191",0,0,0,"3,807","1,381","3,867","2,595","2,803","2,636",794,229,807,"70,988","66,638","49,875",0,0,"1,005","5,842",18,"1,001","6,846","2,158","1,580","1,462","3,804",39,0,0,39,15,47,11,73,0,0,0,0,7,20,10,37,415,156,14,585,4,5,10,19,343,600,62,144,624,96,324,8,53,248,0,0,0,"2,160",146,"$428,631"
Precinct 5 Place 2,1/2021,"3,131",356,528,259,787,168,84,0,0,0,232,484,578,"2,019","57,745","47,152","61,131","1,082",144,"1,118",0,0,0,"3,797","1,386","3,823","2,552","2,820","2,589",776,235,778,"69,439","65,952","51,737",2,0,842,"6,202",17,480,"6,684",867,"1,704","1,473","3,507",20,1,0,21,4,43,6,53,0,0,0,0,3,13,2,18,106,90,16,212,11,26,3,40,326,449,67,66,210,68,241,2,29,136,0,0,0,867,167,"$342,082"
Precinct 5 Place 2,1/2021,"4,756",688,975,208,"1,183",354,163,0,0,0,358,875,772,"3,174","58,412","47,634","63,650","1,070",150,"1,106",0,0,0,"3,766","1,398","3,840","2,542","2,826","2,623",764,240,779,"71,998","66,554","52,248",0,0,"1,334","6,548",18,990,"7,541","2,290","2,305","1,563","3,673",54,0,0,54,9,89,15,113,0,0,0,0,17,41,9,67,172,201,20,393,3,32,9,44,376,841,117,131,386,186,549,2,55,319,0,0,0,"2,293",336,"$690,205"
Precinct 5 Place 2,1/2021,"4,459",624,882,428,"1,310",305,162,0,0,0,244,711,770,"3,110","58,476","49,160","63,366","1,020",165,"1,059",0,0,0,"3,748","1,415","3,821","2,541","2,855","2,604",746,250,764,"71,614","66,531","53,845",2,0,905,"6,537",17,915,"7,452","1,935","2,221","1,599","3,632",34,0,1,35,9,45,10,64,0,0,0,0,6,47,4,57,148,278,13,439,14,22,10,46,347,465,93,108,319,160,552,6,44,274,0,0,0,"1,935",320,"$552,492"
Precinct 5 Place 2,1/2021,"4,074",548,666,353,"1,019",267,110,0,0,0,236,613,682,"2,601","58,657","50,362","63,099",978,183,"1,006",0,0,0,"3,720","1,443","3,773","2,497","2,905","2,579",725,257,742,"71,199","66,577","55,150",5,0,"1,166","6,645",18,"1,056","7,703","1,855","2,286","1,654","3,763",36,0,0,36,5,69,38,112,0,0,0,0,8,122,4,134,109,335,36,480,14,31,12,57,449,620,97,82,254,147,704,8,98,237,0,0,0,"1,856",289,"$474,821"
Precinct 5 Place 2,1/2021,"3,457",527,701,497,"1,198",220,113,1,0,0,236,570,863,"2,905","58,889","51,590","62,655",959,195,"1,037",0,0,0,"3,695","1,460","3,744","2,477","2,949","2,553",718,263,733,"70,722","66,738","56,457",1,0,"1,101","6,688",17,"1,062","7,750","2,158","2,219","1,647","3,884",36,0,4,40,12,60,13,85,0,0,0,0,6,96,12,114,98,343,25,466,7,41,10,58,375,637,89,136,295,159,699,4,68,299,0,0,0,"2,158",271,"$481,701"
Precinct 5 Place 2,1/2021,"3,765",617,616,792,"1,408",248,91,0,0,0,386,725,797,"3,314","57,839","53,169","62,003",964,199,"1,048",0,0,0,"3,668","1,477","3,713","2,469","2,973","2,530",714,270,742,"70,036","65,654","58,088",2,0,"1,765","7,482",21,974,"8,460","1,114","2,217","1,691","4,552",29,0,1,30,7,52,3,62,0,0,0,0,3,127,1,131,121,284,26,431,14,21,22,57,961,695,109,85,259,169,653,9,62,263,0,0,0,"1,114",378,"$477,297"
Precinct 5 Place 2,1/2021,"3,625",583,640,265,905,275,138,1,0,0,810,"1,224",805,"3,262","57,783","53,666","61,827",989,201,"1,045",0,0,0,"3,651","1,485","3,686","2,467","2,961","2,525",722,271,737,"69,820","65,612","58,584",2,0,"1,611","8,070",20,"1,026","9,097","1,493","2,283","1,741","5,073",50,1,0,51,6,49,4,59,0,0,0,0,13,56,3,72,108,340,32,480,3,41,15,59,781,720,110,120,300,171,658,14,68,305,0,0,0,"1,494",342,"$503,021"
Precinct 5 Place 2,1/2021,"4,392",538,599,320,919,213,96,0,0,0,775,"1,084",675,"3,007","57,257","54,563","61,918",997,203,"1,066",0,0,0,"3,625","1,488","3,671","2,463","2,965","2,604",719,275,732,"69,991","65,061","59,494",0,0,"1,871","8,826",20,"1,115","9,942","2,659","2,654","1,777","5,511",49,1,1,51,7,57,18,82,0,0,0,0,7,80,7,94,117,305,16,438,23,32,14,69,738,"1,029",104,161,364,212,687,8,64,381,0,0,0,"2,659",329,"$500,436"
Precinct 5 Place 2,1/2021,"4,154",541,588,466,"1,054",272,114,0,0,0,887,"1,273",665,"3,337","56,600","56,537","61,088",996,212,"1,030",0,0,0,"3,592","1,508","3,666","2,433","3,075","2,519",706,283,719,"69,022","64,327","61,615",1,0,"1,942","8,939",19,"1,247","10,186","2,427","2,932","1,799","5,455",66,0,0,66,7,46,12,65,0,0,0,0,6,71,7,84,138,434,32,604,12,39,43,94,659,"1,200",83,143,372,183,773,8,102,334,0,0,0,"2,429",335,"$557,012"
Precinct 5 Place 2,1/2021,"4,184",620,647,369,"1,016",250,103,0,0,0,796,"1,149",649,"3,145","55,592","58,363","60,152",974,218,"1,022",0,0,0,"3,581","1,538","3,665","2,417","3,097","2,508",693,285,714,"68,061","63,257","63,501",3,0,"1,270","9,486",22,919,"10,409","1,266","3,001","1,790","5,618",57,1,3,61,5,39,13,57,0,1,0,1,2,32,9,43,114,314,22,450,8,13,13,34,396,782,92,82,268,110,510,81,141,273,0,0,0,"1,266",332,"$508,093"
Precinct 5 Place 2,1/2021,"4,120",577,485,206,691,191,87,1,0,0,589,868,672,"2,580","55,958","58,979","60,196",988,214,"1,029",0,0,0,"3,610","1,534","3,682","2,397","3,136","2,728",697,284,712,"68,347","63,650","64,147",0,0,"1,570","9,935",19,"1,423","11,358","1,222","3,276","1,763","6,319",85,1,2,88,5,40,6,51,0,0,0,0,5,35,12,52,132,439,24,595,20,55,9,84,734,725,111,419,666,126,696,8,61,553,0,1,0,"1,222",351,"$437,282"
Precinct 5 Place 2,1/2022,"3,800",494,618,375,993,266,132,0,0,0,"1,046","1,444",843,"3,564","56,827","59,332","60,956",996,221,"1,040",0,0,0,"3,633","1,538","3,690","2,388","3,417","2,437",701,283,716,"68,839","64,545","64,791",1,0,"1,642","10,155",20,"1,459","11,616",782,"3,580","1,826","6,210",62,0,0,62,8,49,37,94,0,0,0,0,4,87,8,99,160,446,28,634,13,41,12,66,531,989,122,291,538,202,825,11,96,504,0,0,0,783,287,"$515,377"
Precinct 5 Place 2,1/2022,"3,519",516,569,109,678,196,120,0,0,0,"1,768","2,084",764,"3,804","56,775","59,601","60,644",997,225,"1,027",0,0,0,"3,646","1,541","3,713","2,371","3,427","2,413",705,284,732,"68,529","64,494","65,078",0,0,"1,485","10,492",19,"1,425","11,923",688,"3,999","1,843","6,081",53,0,1,54,6,78,5,89,0,0,0,0,5,98,8,111,277,406,19,702,10,39,19,68,319,"1,055",111,190,541,205,826,6,58,401,0,0,0,689,273,"$522,170"
Precinct 5 Place 2,1/2022,"3,523",862,763,285,"1,048",259,173,0,0,0,"1,987","2,419",882,"4,740","56,348","59,730","60,502",994,226,"1,036",0,0,0,"3,662","1,536","3,737","2,366","3,423","2,461",716,283,735,"68,471","64,086","65,198",0,0,"1,788","10,159",22,"2,123","12,285","1,571","4,126","1,902","6,257",86,0,1,87,9,216,7,232,0,0,0,0,7,152,13,172,267,572,26,865,26,88,19,133,722,951,115,181,576,443,"1,471",10,76,634,0,0,0,"1,572",391,"$674,899"
Precinct 5 Place 2,1/2022,"4,098",738,644,237,881,221,123,2,0,0,"2,108","2,454",693,"4,406","54,443","60,431","58,952",984,233,"1,024",0,0,0,"3,646","1,538","3,737","2,374","3,423","2,544",713,282,739,"66,996","62,160","65,907",0,0,"1,378","9,442",22,"2,101","11,545","1,567","3,269","2,037","6,239",84,1,2,87,12,260,5,277,0,0,0,0,3,180,9,192,212,426,34,672,35,108,13,156,558,617,203,220,566,481,"1,456",16,79,717,0,0,0,"1,566",379,"$618,364"
Precinct 5 Place 2,1/2022,"4,627",699,687,178,865,267,138,0,0,0,"2,304","2,709",802,"4,730","53,293","61,138","58,356",980,239,"1,034",0,0,0,"3,668","1,540","3,768","2,367","3,533","2,455",715,284,736,"66,349","61,023","66,734",1,1,"2,046","9,727",23,"1,823","11,554","1,365","3,063","2,062","6,429",58,1,1,60,5,188,6,199,0,0,0,0,4,191,7,202,275,304,30,609,43,102,22,167,704,"1,240",102,83,468,489,"1,275",14,80,586,0,0,0,"1,365",342,"$654,947"
Precinct 5 Place 2,1/2022,"4,203",620,623,352,975,240,157,0,0,0,"2,386","2,783",840,"5,012","52,545","61,780","57,194",979,241,"1,033",0,0,0,"3,671","1,541","3,747","2,366","3,534","2,401",714,282,723,"65,098","60,275","67,378",3,0,"1,884","10,308",25,"1,510","11,820","1,111","2,964","2,118","6,738",63,0,1,64,10,190,5,205,0,0,0,0,8,107,8,123,174,349,22,545,36,55,13,104,586,"1,163",135,52,343,408,"1,109",9,58,469,0,0,0,"1,110",418,"$595,581"
Precinct 5 Place 2,1/2022,"3,762",643,566,342,908,259,135,0,0,0,"1,646","2,040",774,"4,086","50,955","62,264","55,130",963,241,"1,033",0,0,0,"3,659","1,539","3,702","2,328","3,539","2,427",701,284,719,"63,011","58,606","67,867",0,0,"1,848","10,972",23,"1,379","12,352","1,383","3,002","2,247","7,103",58,0,1,59,9,193,6,208,0,0,0,0,10,140,7,157,154,294,13,461,15,54,11,80,571,"1,095",182,75,321,331,"1,012",8,46,414,0,0,0,"1,383",384,"$565,956"
Precinct 5 Place 2,1/2022,"4,514",683,784,396,"1,180",318,195,1,0,0,"2,532","3,046",939,"5,542","49,766","62,941","54,784",970,245,"1,014",0,0,0,"3,629","1,538","3,677","2,324","3,580","2,391",691,296,711,"62,577","57,380","68,600",3,0,"2,288","11,271",25,"2,098","13,372","1,633","3,285","2,368","7,719",59,0,1,60,5,188,49,242,0,0,0,0,16,77,9,102,490,462,35,987,30,91,32,153,853,"1,274",161,175,775,363,"1,181",16,142,554,0,0,0,"1,633",378,"$680,996"
Precinct 5 Place 2,1/2022,"5,390",728,682,265,947,235,205,0,0,0,"2,393","2,833",827,"4,986","47,564","63,868","53,428",932,258,994,0,0,0,"3,584","1,548","3,672","2,323","3,581","2,401",682,294,708,"61,203","55,085","69,549",1,0,"1,947","11,719",28,"1,530","13,253","1,462","3,177","2,423","7,653",52,0,0,52,6,227,4,237,0,0,0,0,12,97,6,115,196,351,25,572,23,128,14,165,680,"1,072",195,36,325,342,"1,145",11,60,389,0,0,0,"1,462",392,"$611,481"
Precinct 5 Place 2,1/2022,"5,913",593,751,264,"1,015",330,212,0,0,0,"2,507","3,049",958,"5,325","47,150","64,573","53,410",917,276,968,0,0,0,"3,607","1,547","3,708","2,282","3,581","2,354",674,299,696,"61,136","54,630","70,276",0,0,"2,122","12,055",28,"1,823","13,879",903,"3,033","2,469","8,377",55,0,0,55,3,181,5,189,0,0,0,0,16,70,8,94,220,493,27,740,37,60,7,104,"1,010","1,001",111,265,596,361,"1,165",15,62,641,0,0,0,910,302,"$663,674"
Precinct 5 Place 2,1/2022,"5,237",577,686,38,724,267,166,0,0,0,"1,902","2,335",914,"4,340","47,174","64,874","52,724",917,285,984,0,0,0,"3,643","1,556","3,748","2,285","3,571","2,368",669,298,678,"60,502","54,688","70,584",0,0,"1,720","12,273",27,"1,509","13,786",758,"2,788","2,530","8,468",63,0,1,64,9,134,8,151,0,1,0,1,7,44,8,59,327,354,38,719,46,33,19,98,680,919,121,108,560,298,864,11,85,417,0,0,0,760,320,"$664,661"
Precinct 5 Place 2,1/2022,"5,441",628,628,54,682,238,167,0,0,0,"1,156","1,561",987,"3,594","47,830","65,070","53,698",936,288,987,0,0,0,"3,687","1,555","3,760","2,304","3,554","2,365",651,298,667,"61,477","55,408","70,765",0,0,"1,580","12,607",27,"1,346","13,954",611,"2,699","2,556","8,699",28,0,0,28,2,130,5,137,0,0,0,0,2,73,4,79,74,293,20,387,3,67,15,85,695,770,115,384,493,238,801,8,52,630,0,0,0,611,355,"$568,555"
Precinct 5 Place 2,1/2023,"4,927",679,832,25,857,198,170,0,0,0,49,417,"1,192","2,950","49,684","65,056","55,089",946,291,"1,003",0,0,0,"3,698","1,548","3,746","2,297","3,553","2,378",647,300,662,"62,878","57,272","70,748",0,0,"1,672","12,436",28,"1,848","14,285",401,"2,594","2,622","9,069",58,0,1,59,1,83,2,86,0,0,0,0,4,68,5,77,303,393,36,732,40,43,25,108,865,696,111,452,858,320,907,14,83,786,0,0,0,401,469,"$585,938"
Precinct 5 Place 2,1/2023,"4,458",660,655,580,"1,235",218,109,0,0,0,"1,481","1,808","1,448","4,834","51,867","64,809","56,711",957,291,"1,017",0,0,0,"3,714","1,546","3,816","2,336","3,522","2,428",653,301,673,"64,645","59,527","70,469",0,0,"1,677","12,684",30,"1,710","14,401",846,"2,251","2,642","9,508",59,0,2,61,15,88,9,112,0,0,2,2,3,97,4,104,275,442,38,755,65,33,29,127,"1,019",564,94,142,559,385,"1,045",22,106,549,0,0,0,848,349,"$639,339"
