Case Number,Case Subtype,Case File Date,Claim Amount,Case Status,Next Hearing Desc,Next Hearing Date,Disposition Desc,Disposition Date,Judgment Text,Judgment Date,Judgment Amount,Attorney Fees,Court Costs,Pre-Judg Int Rate,Post-Judg Int Rate,PATT,DATT,JFP,JFD
191200237172,Debt Claim,06/10/2019,3047.53,Disposed,Judge Trial,04/22/2024,Trial or Hearing by Judge (OCA),04/22/2024,Final Judgment,04/22/2024,0.0,0.0,0.0,0.0,,1,1,0,0
191200244677,Debt Claim,06/14/2019,7994.52,Disposed,Intent to Dismiss for Want of Prosecution,03/25/2022,Agreed Judgment (OCA),04/01/2024,Agreed Judgment,04/01/2024,7994.52,0.0,120.0,0.0,,1,1,0,0
191200271007,Debt Claim,06/27/2019,2721.88,Disposed,Intent to Dismiss for Want of Prosecution,03/29/2022,Agreed Judgment (OCA),04/03/2024,Agreed Judgment,04/03/2024,2721.88,0.0,132.92,0.0,,1,1,0,0
191200279793,Debt Claim,07/05/2019,6852.74,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,6852.74,0.0,132.92,0.0,,1,1,0,0
191200279862,Debt Claim,07/08/2019,1669.81,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,1669.81,0.0,132.92,0.0,8.5,1,1,0,0
191200281487,Debt Claim,07/09/2019,4463.5,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,4463.5,0.0,131.5,0.0,8.5,1,1,0,0
191200289853,Debt Claim,07/15/2019,1421.92,Disposed,Intent to Dismiss for Want of Prosecution,03/31/2022,Agreed Judgment (OCA),04/15/2024,Agreed Judgment,04/15/2024,1421.92,0.0,132.92,0.0,,1,1,0,0
191200290106,Debt Claim,07/16/2019,4766.67,Disposed,Judge Trial,04/22/2024,Agreed Judgment (OCA),04/22/2024,Agreed Judgment,04/22/2024,4766.67,0.0,214.0,0.0,,1,1,0,0
191200295526,Debt Claim,07/19/2019,2159.13,Disposed,Judge Trial,04/22/2024,Default Judgment (OCA),04/22/2024,Default Judgment,04/22/2024,2159.13,0.0,132.92,0.0,8.5,1,0,0,0
191200310673,Debt Claim,07/30/2019,1521.0,Appeal,Judge Trial,04/22/2024,Appeal Filed,05/10/2024,Default Judgment,04/22/2024,1521.0,0.0,131.5,0.0,8.5,1,0,0,0
191200312335,Debt Claim,08/01/2019,650.43,Disposed,Judge Trial,04/29/2024,Trial or Hearing by Judge (OCA),04/29/2024,Final Judgment,04/29/2024,495.63,0.0,49.0,0.0,,1,0,0,0
191200313916,Debt Claim,08/02/2019,3349.85,Disposed,Judge Trial,04/22/2024,Agreed Judgment (OCA),04/22/2024,Final Judgment,04/22/2024,3349.85,0.0,132.92,0.0,,1,1,0,0
191200317899,Debt Claim,08/06/2019,1695.42,Disposed,Judge Trial,04/22/2024,Trial or Hearing by Judge (OCA),04/22/2024,Final Judgment,04/22/2024,0.0,0.0,0.0,0.0,,1,1,0,0
191200326796,Debt Claim,08/09/2019,3531.04,Disposed,Judge Trial,04/29/2024,Default Judgment (OCA),04/29/2024,Default Judgment,04/29/2024,3531.04,0.0,132.92,0.0,,1,0,0,0
191200420073,Debt Claim,10/17/2019,6617.55,Disposed,Judge Trial,04/29/2024,Default Judgment (OCA),04/29/2024,Default Judgment,04/29/2024,6617.55,0.0,131.5,0.0,,1,0,0,0
191200424873,Debt Claim,10/21/2019,2167.97,Disposed,Intent to Dismiss for Want of Prosecution,04/22/2022,Agreed Judgment (OCA),04/05/2024,Agreed Judgment,04/05/2024,2167.97,0.0,133.92,0.0,,1,1,0,0
191200428844,Debt Claim,10/23/2019,9413.88,Disposed,Judge Trial,04/29/2024,Default Judgment (OCA),04/29/2024,Default Judgment,04/29/2024,9413.88,0.0,49.0,0.0,,1,1,0,0
191200463543,Debt Claim,11/14/2019,3274.15,Disposed,Judge Trial,04/29/2024,Default Judgment (OCA),04/29/2024,Default Judgment,04/29/2024,3274.15,0.0,131.5,0.0,,1,0,0,0
191200468377,Debt Claim,11/20/2019,1818.97,Disposed,Judge Trial,04/29/2024,Trial or Hearing by Judge (OCA),04/29/2024,Final Judgment,04/29/2024,0.0,0.0,0.0,0.0,,1,1,0,0
191200474175,Debt Claim,11/25/2019,2464.68,Disposed,Judge Trial,04/29/2024,Trial or Hearing by Judge (OCA),04/29/2024,Final Judgment,04/29/2024,1905.69,0.0,133.92,0.0,,1,0,0,0
201200004776,Debt Claim,12/31/2019,2635.08,Disposed,Judge Trial,04/29/2024,Trial or Hearing by Judge (OCA),04/29/2024,Final Judgment,04/29/2024,1518.07,0.0,133.92,0.0,,1,0,0,0
201200004844,Debt Claim,01/02/2020,3425.63,Disposed,Judge Trial,04/29/2024,Trial or Hearing by Judge (OCA),04/29/2024,Final Judgment,04/29/2024,1845.01,0.0,133.92,0.0,,1,1,0,0
201200061397,Debt Claim,02/11/2020,2414.82,Disposed,Intent to Dismiss for Want of Prosecution,07/26/2022,Agreed Judgment (OCA),04/01/2024,Agreed Judgment,04/01/2024,2414.82,0.0,131.5,0.0,8.5,1,1,0,0
201200113596,Debt Claim,03/23/2020,1907.28,Disposed,Judge Trial,04/15/2024,Trial or Hearing by Judge (OCA),04/15/2024,Final Judgment,04/15/2024,0.0,0.0,0.0,0.0,,1,1,0,0
201200135678,Debt Claim,05/14/2020,1462.3,Disposed,Jury Trial,04/10/2024,Default Judgment (OCA),04/10/2024,Default Judgment,04/10/2024,1462.3,750.0,54.0,442.54,8.5,1,1,0,0
201200147676,Debt Claim,05/29/2020,3532.98,Disposed,Judge Trial,04/01/2024,Trial or Hearing by Judge (OCA),04/01/2024,Final Judgment,04/01/2024,0.0,0.0,0.0,0.0,,1,1,0,0
201200162099,Debt Claim,06/18/2020,2948.29,Disposed,Judge Trial,04/01/2024,Trial or Hearing by Judge (OCA),04/01/2024,Final Judgment,04/01/2024,0.0,0.0,0.0,0.0,,1,1,0,0
201200179427,Debt Claim,07/14/2020,9086.28,Disposed,Intent to Dismiss for Want of Prosecution,08/24/2022,Agreed Judgment (OCA),04/23/2024,Agreed Judgment,04/23/2024,9086.28,0.0,114.0,0.0,8.5,1,1,0,0
201200251130,Debt Claim,10/01/2020,2463.94,Disposed,Jury Trial,04/10/2024,Agreed Judgment (OCA),04/10/2024,Agreed Judgment,04/10/2024,2463.94,1231.5,49.0,1265.32,12.0,1,0,0,0
201200289410,Debt Claim,11/12/2020,9130.4,Disposed,Judge Trial,04/01/2024,Trial or Hearing by Judge (OCA),04/01/2024,Final Judgment,04/01/2024,0.0,0.0,0.0,0.0,,1,1,0,0
201200329216,Debt Claim,12/21/2020,3332.72,Disposed,Intent to Dismiss for Want of Prosecution,10/06/2022,Agreed Judgment (OCA),04/26/2024,Agreed Judgment,04/28/2024,3332.72,0.0,122.0,0.0,8.5,1,1,0,0
211200005726,Debt Claim,01/06/2021,1869.38,Disposed,Judge Trial,04/29/2024,Trial or Hearing by Judge (OCA),04/29/2024,Final Judgment,04/29/2024,0.0,0.0,0.0,0.0,,1,1,0,0
211200005925,Debt Claim,01/07/2021,3020.73,Disposed,Judge Trial,04/29/2024,Trial or Hearing by Judge (OCA),04/29/2024,Final Judgment,04/29/2024,0.0,0.0,0.0,0.0,,1,1,0,0
211200009197,Debt Claim,01/08/2021,2033.36,Disposed,Judge Trial,04/29/2024,Trial or Hearing by Judge (OCA),04/29/2024,Final Judgment,04/29/2024,1500.0,0.0,135.42,0.0,,1,1,0,0
211200021197,Debt Claim,01/21/2021,5436.38,Disposed,Intent to Dismiss for Want of Prosecution,10/12/2022,Agreed Judgment (OCA),04/20/2024,Agreed Judgment,04/20/2024,5402.53,0.0,133.5,0.0,,1,1,0,0
211200032855,Debt Claim,02/01/2021,2946.83,Appeal,Judge Trial,04/15/2024,Appeal Filed,05/01/2024,Final Judgment,04/15/2024,2946.83,0.0,122.0,0.0,8.5,1,1,0,0
211200044018,Debt Claim,02/12/2021,8698.07,Disposed,Judge Trial,04/29/2024,Trial or Hearing by Judge (OCA),04/29/2024,Final Judgment,04/29/2024,2240.73,0.0,0.0,0.0,,1,0,0,0
